JOBSHIPMENTNO,JOBTYPE,JOBTYPENAME,SERVICETYPECODE,TMODE,SHPTORIGINCTRY,SHPTDESTCTRY,SERVICE_REMARK,TOTAL_RATING,TOTAL_SCORE
J20100276-1-S2,O,Outbound Job,DTD,Sea,Singapore,Australia,Excellent job by all the guys.,40,10
J20100307-1-S1,O,Outbound Job,DTP,Sea,Singapore,Philippines,,40,10
J20100308-1-A1,O,Outbound Job,DTP,Air,Singapore,Germany,,40,10
J20100319-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Fast service and efficient.  Very happy with the team.,40,10
J20100321-1-S1,O,Outbound Job,DTD,Sea,Singapore,Germany,,36,9
J20100322-1-S1,I,Inbound Job,DTD,Sea,United States,Singapore,"Very fast and efficient.  Assembly done well.
U.S. packers could be better - damage & missing items.",38,9.5
J20100325-1-S1,O,Outbound Job,DTD,Sea,Singapore,Thailand,,40,10
J20100329-1-A1,I,Inbound Job,DTD,Air,Japan,Singapore,,36,9
J20100339-1-S1,I,Inbound Job,PTD,Sea,"Korea, Republic of",Singapore,,40,10
J20100359-1-S1,O,Outbound Job,DTP,Sea,Singapore,Thailand,,38,9.5
J20100360-1-S2,O,Outbound Job,DTP,Sea,Singapore,Australia,Great team!,40,10
J20100379-1-R1,I,Inbound Job,PTD,Road,Malaysia,Singapore,,34,8.5
J20100383-1-A1,I,Inbound Job,PTD,Air,United Kingdom,Singapore,,40,10
J20100389-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Very professional and helpful.  We are very impressed with the crew.,40,10
J20100391-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Excellent work!,40,10
J20100411-1-S1,O,Outbound Job,DTD,Sea,Singapore,Germany,,40,10
J20100413-1-S1,I,Inbound Job,PTD,Sea,Jordan,Singapore,,40,10
J20100416-1-S1,I,Inbound Job,PTD,Sea,United States,Singapore,"Mubarak and the entire team were wonderful.  They worked very hard, efficiently and carefully.  The team was helpful and friendly!  Thank you!",40,10
J20100419-1-S1,I,Inbound Job,PTD,Sea,Denmark,Singapore,"No comment, simply excellently communicated.
One plus point would have been to announce driving to Fraser Suites in the morning.  Now, hotel management announced arrival.  But that's a small thing excellent.",40,10
J20100421-1-S3,O,Outbound Job,DTD,Sea,Singapore,United Kingdom,Thomas and his team were amazing.  Robbie was very accommodating and patient.,40,10
J20100444-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,38,9.5
J20100445-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,Asian Tigers has been brilliant - both in HK and SG.  Both teams are hard working and very courteous.  We will thoroughly recommend you and use you in the future.,40,10
J20100446-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,"Sabil, Kit and Syuk were great.  Thank you!",40,10
J20100459-1-S1,O,Outbound Job,DTD,Sea,Singapore,Switzerland,,40,10
J20100460-1-S1,O,Outbound Job,DTD,Sea,Singapore,"Korea, Republic of","Great team, very professional and friendly!! #1 Team!",40,10
J20100461-1-R2,L,Local Move Job,DTD,Road,Singapore,Singapore,,36,9
J20100484-1-S1,O,Outbound Job,DTD,Sea,Singapore,Japan,,40,10
J20100487-1-S2,O,Outbound Job,DTD,Sea,Singapore,Brazil,"Mr Sarudin and the team were excellent, very polite and professional on handling our stuff.",40,10
J20100494-1-S1,O,Outbound Job,DTD,Sea,Singapore,Australia,Very efficient!!,40,10
J20100525-1-S1,I,Inbound Job,PTD,Sea,Australia,Singapore,,40,10
J20100528-1-S1,I,Inbound Job,PTD,Sea,Indonesia,Singapore,The move took longer than expected from Jakarta.  Documents took too long a time to get sorted.,38,9.5
J20100551-1-R1,O,Outbound Job,DTD,Road,Singapore,Malaysia,En Mukhtar is especially helpful and friendly.,40,10
J20100552-1-A1,O,Outbound Job,DTP,Air,Singapore,United Kingdom,,33,8.25
J20100555-1-A1,I,Inbound Job,PTD,Air,Thailand,Singapore,,40,10
J20100557-1-S1,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,,40,10
J20100562-1-S1,O,Outbound Job,DTD,Sea,Singapore,United States,Excellent Service.,40,10
J20100576-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,,40,10
J20100578-1-A1,O,Outbound Job,DTD,Air,Singapore,United States,,40,10
J20100583-1-S1,I,Inbound Job,PTD,Sea,India,Singapore,,40,10
J20100588-1-R1,L,Local Move Job,DTD,Road,Singapore,Singapore,Excellent team - professional and pleasant!  Would recommend to others.,40,10
J20100590-1-S1,O,Outbound Job,DTP,Sea,Singapore,Italy,,40,10
J20100599-1-S1,I,Inbound Job,PTD,Sea,Hong Kong ,Singapore,,40,10
J20100600-1-S2,O,Outbound Job,DTP,Sea,Singapore,United Kingdom,,40,10
J20100609-1-A1,O,Outbound Job,DTP,Air,Singapore,United States,,40,10
